Bolt Size,Nominal Dia (mm),Length (mm),Across Flats (mm),Across Corners (mm),Head Thickness (mm),Standard Fine Pitch (mm),Standard Rough Pitch (mm)
M3,3.0,20,5.5,6.01,2.0,0.5,0.75
M3,3.0,30,5.5,6.01,2.0,0.5,0.75
M3,3.0,40,5.5,6.01,2.0,0.5,0.75
M3,3.0,50,5.5,6.01,2.0,0.5,0.75
M3,3.0,60,5.5,6.01,2.0,0.5,0.75
M3,3.0,80,5.5,6.01,2.0,0.5,0.75
M3,3.0,100,5.5,6.01,2.0,0.5,0.75
M3.5,3.5,20,6.0,6.58,2.4,0.6,0.8999999999999999
M3.5,3.5,30,6.0,6.58,2.4,0.6,0.8999999999999999
M3.5,3.5,40,6.0,6.58,2.4,0.6,0.8999999999999999
M3.5,3.5,50,6.0,6.58,2.4,0.6,0.8999999999999999
M3.5,3.5,60,6.0,6.58,2.4,0.6,0.8999999999999999
M3.5,3.5,80,6.0,6.58,2.4,0.6,0.8999999999999999
M3.5,3.5,100,6.0,6.58,2.4,0.6,0.8999999999999999
M4,4.0,20,7.0,7.66,2.8,0.7,1.0499999999999998
M4,4.0,30,7.0,7.66,2.8,0.7,1.0499999999999998
M4,4.0,40,7.0,7.66,2.8,0.7,1.0499999999999998
M4,4.0,50,7.0,7.66,2.8,0.7,1.0499999999999998
M4,4.0,60,7.0,7.66,2.8,0.7,1.0499999999999998
M4,4.0,80,7.0,7.66,2.8,0.7,1.0499999999999998
M4,4.0,100,7.0,7.66,2.8,0.7,1.0499999999999998
M5,5.0,20,8.0,8.79,3.5,0.8,1.2000000000000002
M5,5.0,30,8.0,8.79,3.5,0.8,1.2000000000000002
M5,5.0,40,8.0,8.79,3.5,0.8,1.2000000000000002
M5,5.0,50,8.0,8.79,3.5,0.8,1.2000000000000002
M5,5.0,60,8.0,8.79,3.5,0.8,1.2000000000000002
M5,5.0,80,8.0,8.79,3.5,0.8,1.2000000000000002
M5,5.0,100,8.0,8.79,3.5,0.8,1.2000000000000002
M6,6.0,20,10.0,11.05,4.0,1.0,1.5
M6,6.0,30,10.0,11.05,4.0,1.0,1.5
M6,6.0,40,10.0,11.05,4.0,1.0,1.5
M6,6.0,50,10.0,11.05,4.0,1.0,1.5
M6,6.0,60,10.0,11.05,4.0,1.0,1.5
M6,6.0,80,10.0,11.05,4.0,1.0,1.5
M6,6.0,100,10.0,11.05,4.0,1.0,1.5
M8,8.0,20,13.0,14.38,5.3,1.25,1.875
M8,8.0,30,13.0,14.38,5.3,1.25,1.875
M8,8.0,40,13.0,14.38,5.3,1.25,1.875
M8,8.0,50,13.0,14.38,5.3,1.25,1.875
M8,8.0,60,13.0,14.38,5.3,1.25,1.875
M8,8.0,80,13.0,14.38,5.3,1.25,1.875
M8,8.0,100,13.0,14.38,5.3,1.25,1.875
M10,10.0,20,16.0,17.77,6.4,1.5,2.25
M10,10.0,30,16.0,17.77,6.4,1.5,2.25
