Nut Size,Nominal Dia (mm),Thickness (mm),Across Flats (mm),Across Corners (mm),Standard Fine Pitch (mm),Standard Rough Pitch (mm)
M3,3.0,2.4,5.5,6.01,0.5,0.75
M4,4.0,3.2,7.0,7.66,0.7,1.0499999999999998
M5,5.0,4.7,8.0,8.79,0.8,1.2000000000000002
M6,6.0,5.2,10.0,11.05,1.0,1.5
M8,8.0,6.8,13.0,14.38,1.25,1.875
M10,10.0,8.4,16.0,17.77,1.5,2.25
M12,12.0,10.8,18.0,20.03,1.75,2.625
M14,14.0,12.8,21.0,23.36,2.0,3.0
M16,16.0,14.8,24.0,26.75,2.0,3.0
M18,18.0,15.8,27.0,29.56,2.5,3.75
M20,20.0,18.0,30.0,32.95,2.5,3.75
M22,22.0,19.4,34.0,37.29,2.5,3.75
M24,24.0,21.5,36.0,39.55,3.0,4.5
