Screw Size,Nominal Dia (mm),Head Dia (mm),Shank Dia (mm),Thread Pitch (mm),Length (mm),Head Thickness (mm)
M1.6,1.6,3.2,1.2,0.35,10,1.3
M1.6,1.6,3.2,1.2,0.35,12,1.3
M1.6,1.6,3.2,1.2,0.35,16,1.3
M1.6,1.6,3.2,1.2,0.35,20,1.3
M1.6,1.6,3.2,1.2,0.35,25,1.3
M1.6,1.6,3.2,1.2,0.35,30,1.3
M1.6,1.6,3.2,1.2,0.35,35,1.3
M1.6,1.6,3.2,1.2,0.35,40,1.3
M1.6,1.6,3.2,1.2,0.35,45,1.3
M1.6,1.6,3.2,1.2,0.35,50,1.3
M1.6,1.6,3.2,1.2,0.35,60,1.3
M2,2.0,4.0,1.6,0.4,10,1.6
M2,2.0,4.0,1.6,0.4,12,1.6
M2,2.0,4.0,1.6,0.4,16,1.6
M2,2.0,4.0,1.6,0.4,20,1.6
M2,2.0,4.0,1.6,0.4,25,1.6
M2,2.0,4.0,1.6,0.4,30,1.6
M2,2.0,4.0,1.6,0.4,35,1.6
M2,2.0,4.0,1.6,0.4,40,1.6
M2,2.0,4.0,1.6,0.4,45,1.6
M2,2.0,4.0,1.6,0.4,50,1.6
M2,2.0,4.0,1.6,0.4,60,1.6
M2.5,2.5,5.0,1.9,0.45,10,2.1
M2.5,2.5,5.0,1.9,0.45,12,2.1
M2.5,2.5,5.0,1.9,0.45,16,2.1
M2.5,2.5,5.0,1.9,0.45,20,2.1
M2.5,2.5,5.0,1.9,0.45,25,2.1
M2.5,2.5,5.0,1.9,0.45,30,2.1
M2.5,2.5,5.0,1.9,0.45,35,2.1
M2.5,2.5,5.0,1.9,0.45,40,2.1
M2.5,2.5,5.0,1.9,0.45,45,2.1
M2.5,2.5,5.0,1.9,0.45,50,2.1
M2.5,2.5,5.0,1.9,0.45,60,2.1
M3,3.0,5.6,2.3,0.5,10,2.4
M3,3.0,5.6,2.3,0.5,12,2.4
M3,3.0,5.6,2.3,0.5,16,2.4
M3,3.0,5.6,2.3,0.5,20,2.4
M3,3.0,5.6,2.3,0.5,25,2.4
M3,3.0,5.6,2.3,0.5,30,2.4
M3,3.0,5.6,2.3,0.5,35,2.4
M3,3.0,5.6,2.3,0.5,40,2.4
M3,3.0,5.6,2.3,0.5,45,2.4
M3,3.0,5.6,2.3,0.5,50,2.4
M3,3.0,5.6,2.3,0.5,60,2.4
